ticker,quarter,fiscal_year,event_date,transcript_id,total_words,positive_count,negative_count,uncertainty_count,positive_ratio,negative_ratio,uncertainty_ratio,net_sentiment,sentiment_polarity,event_date_only,car_-1_1,car_-1_1_tstat,car_-1_1_alpha,car_-1_1_beta,car_-1_1_rsquared,car_-1_1_obs,car_0_1,car_0_1_tstat,car_0_1_alpha,car_0_1_beta,car_0_1_rsquared,car_0_1_obs,car_0_2,car_0_2_tstat,car_0_2_alpha,car_0_2_beta,car_0_2_rsquared,car_0_2_obs
ABT,2,2007,2007-07-18 19:16:50,ABT_2330,4580,122,82,71,0.0266375545851528,0.0179039301310043,0.0155021834061135,0.0087336244541484,0.196078431372549,2007-07-18,0.0090978444914854,0.8394718468854512,0.001000265699934,0.6455629955642476,0.1449583960942347,3,0.0132307941597033,8.255898824415507,0.001000265699934,0.6455629955642476,0.1449583960942347,2,-0.0069239413150358,-0.2582973691281091,0.001000265699934,0.6455629955642476,0.1449583960942347,3
ABT,3,2007,2007-10-17 17:53:08,ABT_3153,4412,126,73,51,0.028558476881233,0.0165457842248413,0.0115593834995466,0.0120126926563916,0.2663316582914573,2007-10-17,-0.001481829237505,-0.0594918086965606,-6.942365900376255e-05,0.8007784659016626,0.334748070272685,3,-0.0081349169486725,-0.313350116282861,-6.942365900376255e-05,0.8007784659016626,0.334748070272685,2,0.0064014499653189,0.2193632671125881,-6.942365900376255e-05,0.8007784659016626,0.334748070272685,3
ABT,4,2007,2008-01-23 21:45:06,ABT_4880,4882,167,75,74,0.0342072920934043,0.0153625563293732,0.0151577222449815,0.0188447357640311,0.3801652892561983,2008-01-23,-0.0554874133246048,-2.7434406839961696,-3.0009382936609048e-05,0.6793706234869757,0.3661760565213804,3,-0.0292747733514122,-1.5285926271644923,-3.0009382936609048e-05,0.6793706234869757,0.3661760565213804,2,-0.0481321587999549,-2.812428787588478,-3.0009382936609048e-05,0.6793706234869757,0.3661760565213804,3
ABT,1,2008,2008-04-16 18:24:19,ABT_7370,4680,131,76,70,0.0279914529914529,0.0162393162393162,0.0149572649572649,0.0117521367521367,0.2657004830917874,2008-04-16,-0.044140267243893,-3.2916685486083384,0.0001518540615145,0.5004527173371384,0.2474147373593651,3,-0.0307621034185244,-2.0092174376394563,0.0001518540615145,0.5004527173371384,0.2474147373593651,2,-0.04333796670251,-3.1977216617741173,0.0001518540615145,0.5004527173371384,0.2474147373593651,3
ABT,2,2008,2008-07-17 00:49:23,ABT_10085,5096,184,70,70,0.0361067503924646,0.0137362637362637,0.0137362637362637,0.0223704866562009,0.4488188976377952,2008-07-17,-0.0203225211094485,-0.7055738484401687,0.0004884487288946,0.4210222245218337,0.1584096059279663,3,0.0055157217637073,1.386714306900593,0.0004884487288946,0.4210222245218337,0.1584096059279663,2,0.0055157217637073,1.386714306900593,0.0004884487288946,0.4210222245218337,0.1584096059279663,2
ABT,3,2008,2008-10-16 03:22:19,ABT_13081,4876,206,95,53,0.042247744052502,0.0194831829368334,0.0108695652173913,0.0227645611156685,0.3687707641196013,2008-10-16,0.0354095763047134,1.9335709479344323,0.0002830491307188,0.4441418753676063,0.1577265533469094,3,0.0122296904736646,1.5939344315639543,0.0002830491307188,0.4441418753676063,0.1577265533469094,2,0.0122296904736646,1.5939344315639543,0.0002830491307188,0.4441418753676063,0.1577265533469094,2
ABT,-1,2008,2009-01-12 21:14:17,ABT_15761,2761,99,47,39,0.0358565737051792,0.0170228178196305,0.0141253169141615,0.0188337558855487,0.3561643835616438,2009-01-12,-0.0063927939334609,-0.4695164255325375,0.0017324809761608,0.5248840318772172,0.5083465905896665,2,-0.0063927939334609,-0.4695164255325375,0.0017324809761608,0.5248840318772172,0.5083465905896665,2,-0.0014285334951292,-0.0996185130756784,0.0017324809761608,0.5248840318772172,0.5083465905896665,3
ABT,4,2008,2009-01-21 21:08:15,ABT_15839,5178,178,69,67,0.0343762070297412,0.0133256083429895,0.0129393588258014,0.0210505986867516,0.4412955465587044,2009-01-21,0.0729937529883873,3.186958096933292,0.0017292871515238,0.5276011224556948,0.5403747177634894,3,0.0599565080400498,3.3686223637009465,0.0017292871515238,0.5276011224556948,0.5403747177634894,2,0.0508401531997044,1.209801383708007,0.0017292871515238,0.5276011224556948,0.5403747177634894,3
ABT,1,2009,2009-04-18 02:19:22,ABT_18425,5707,155,133,75,0.0271596285263711,0.0233047135097249,0.0131417557385666,0.0038549150166462,0.0763888888888889,2009-04-18,,,,,,0,,,0.0005385573540967,0.5091029265149313,0.5166493884579442,0,,,,,,0
ABT,2,2009,2009-07-15 20:21:54,ABT_20097,5295,174,105,77,0.0328611898016997,0.0198300283286118,0.0145420207743153,0.0130311614730878,0.2473118279569892,2009-07-15,-0.0414211285763114,-1.102389107508314,-0.0012473409315063,0.3967778273031815,0.250803845955966,3,-0.0471620044824881,-1.7383669522498035,-0.0012473409315063,0.3967778273031815,0.250803845955966,2,-0.0563329857682514,-2.0438439279565217,-0.0012473409315063,0.3967778273031815,0.250803845955966,3
ABT,3,2009,2009-10-14 20:05:03,ABT_21846,4210,116,80,65,0.0275534441805225,0.0190023752969121,0.015439429928741,0.0085510688836104,0.1836734693877551,2009-10-14,0.0461109488130581,2.1460888469060984,-0.0016812409583548,0.2741001672313732,0.0841739166137388,3,0.0429004204317795,3.271584426060949,-0.0016812409583548,0.2741001672313732,0.0841739166137388,2,0.0375702223540734,1.2915731885078092,-0.0016812409583548,0.2741001672313732,0.0841739166137388,3
ABT,4,2009,2010-01-27 21:49:30,ABT_23741,6853,246,100,106,0.0358966875820808,0.01459214942361,0.0154676783890267,0.0213045381584707,0.4219653179190751,2010-01-27,-0.0141884200850449,-1.0329380252787346,0.0012449508192874,0.2723036185945306,0.0809091313531621,3,-0.0102617476764797,-0.6494826397020902,0.0012449508192874,0.2723036185945306,0.0809091313531621,2,-0.0274226989206249,-1.505129661975429,0.0012449508192874,0.2723036185945306,0.0809091313531621,3
ABT,1,2010,2010-04-21 19:20:13,ABT_25194,5479,198,76,74,0.0361379813834641,0.0138711443694104,0.0135061142544259,0.0222668370140536,0.4452554744525547,2010-04-21,-0.042817892350025,-2.164197022359775,0.0011918779091217,0.4052341340591312,0.2076397378461523,3,-0.040484451883381,-4.16950635931076,0.0011918779091217,0.4052341340591312,0.2076397378461523,2,-0.0431278926864389,-2.2111773727189004,0.0011918779091217,0.4052341340591312,0.2076397378461523,3
ABT,4,2010,2011-01-27 00:06:16,ABT_29876,6581,190,130,81,0.0288709922504178,0.0197538368029174,0.0123081598541255,0.0091171554475003,0.1875,2011-01-27,-0.0474306522525611,-2.468978162368268,-0.0003349704185884,0.5036107653707317,0.4271527834795884,3,-0.0188441485394514,-12.2548754157891,-0.0003349704185884,0.5036107653707317,0.4271527834795884,2,-0.0188441485394514,-12.2548754157891,-0.0003349704185884,0.5036107653707317,0.4271527834795884,2
ABT,1,2011,2011-04-20 20:51:32,ABT_30971,4965,174,92,89,0.0350453172205438,0.0185297079556898,0.017925478348439,0.0165156092648539,0.3082706766917293,2011-04-20,0.0016607345271725,0.0625117483830438,-0.0007837044995481,0.424985657961809,0.1896791212375781,3,0.0070078481632703,0.2422842220842463,-0.0007837044995481,0.424985657961809,0.1896791212375781,2,0.0070078481632703,0.2422842220842463,-0.0007837044995481,0.424985657961809,0.1896791212375781,2
ABT,2,2011,2011-07-20 18:21:11,ABT_32181,4528,175,72,42,0.0386484098939929,0.0159010600706713,0.0092756183745583,0.0227473498233215,0.4170040485829959,2011-07-20,-0.0045709159111786,-0.3749913945456149,0.0001359737694812,0.3562550759174033,0.1090839109302245,3,-0.0053373663293407,-0.395225234224097,0.0001359737694812,0.3562550759174033,0.1090839109302245,2,-0.0040932786429152,-0.3319095821880831,0.0001359737694812,0.3562550759174033,0.1090839109302245,3
ABT,3,2011,2011-10-19 19:21:11,ABT_33828,6506,209,118,95,0.0321241930525668,0.018137104211497,0.0146019059329849,0.0139870888410697,0.2782874617737003,2011-10-19,0.0282153860722826,1.195078227049177,0.0013821679614547,0.550875645878785,0.4768367590955333,3,0.033365360462849,3.215528344364423,0.0013821679614547,0.550875645878785,0.4768367590955333,2,0.0178561240591853,0.5342529052420293,0.0013821679614547,0.550875645878785,0.4768367590955333,3
